"","3.15a","3.15b","3.16a","3.16b","3.17a","3.17b","3.17c","3.17d","3.17e","3.18"
"3.15a",1,0.0505610948029008,0.0426687767841112,0.0443306748357529,0.008665721825533,0.0597145254157101,0.040338163399777,0.0701183254242557,0.0573092831006238,0.00341951761105621
"3.15b",0.0505610948029008,1,0.0196875510417145,0.354723419448187,0.0546198547928971,0.44681772220757,0.0122880220631518,0.24143471562149,0.133520084338176,0.0441431705476085
"3.16a",0.0426687767841112,0.0196875510417145,1,0.0298338383096309,0.0224840484081351,0.027820379550246,0.00299062223045003,0.0367771615643374,-0.0279122790111463,0.0107324132291827
"3.16b",0.0443306748357529,0.354723419448187,0.0298338383096309,1,-0.00547071490952817,0.390432529065569,0.00656506820513547,0.210467923260051,0.0803602654425732,0.0496312136160673
"3.17a",0.008665721825533,0.0546198547928971,0.0224840484081351,-0.00547071490952817,1,0.00137101786956146,-0.0220509793136182,0.0511953936715253,0.016398275440078,0.0361567802422649
"3.17b",0.0597145254157101,0.44681772220757,0.027820379550246,0.390432529065569,0.00137101786956146,1,0.0600517797972107,0.291022252834025,0.0915741358053664,0.0678047019226039
"3.17c",0.040338163399777,0.0122880220631518,0.00299062223045003,0.00656506820513547,-0.0220509793136182,0.0600517797972107,1,-0.0161301826131241,0.00451006608063994,0.0412175530575167
"3.17d",0.0701183254242557,0.24143471562149,0.0367771615643374,0.210467923260051,0.0511953936715253,0.291022252834025,-0.0161301826131241,1,0.0799924187372946,0.0905045053304012
"3.17e",0.0573092831006238,0.133520084338176,-0.0279122790111463,0.0803602654425732,0.016398275440078,0.0915741358053664,0.00451006608063994,0.0799924187372946,1,0.0315521984253923
"3.18",0.00341951761105621,0.0441431705476085,0.0107324132291827,0.0496312136160673,0.0361567802422649,0.0678047019226039,0.0412175530575167,0.0905045053304012,0.0315521984253923,1
